title_group,count,mean,median,std,pct_of_data,premium_vs_analyst_pct
ML Engineer / MLOps,9073,194303.0,186000.0,66726.0,6.2,80.8
Software Engineer,21860,180027.0,174000.0,65421.0,14.8,67.5
Research Scientist,7089,175054.0,165000.0,70356.0,4.8,62.9
Product Manager,3455,174293.0,164000.0,64957.0,2.3,62.2
Manager / Director,4092,174149.0,166232.0,78031.0,2.8,62.1
Data Architect,4525,170929.0,163000.0,62753.0,3.1,59.1
AI / ML Researcher,3306,167597.0,161343.0,68237.0,2.2,56.0
Data Scientist,20784,160003.0,153000.0,60220.0,14.1,48.9
Other Tech,30373,151747.0,141440.0,64291.0,20.6,41.2
Other,1489,151297.0,140000.0,70881.0,1.0,40.8
Data Engineer,16510,147864.0,141000.0,57463.0,11.2,37.6
Analytics Engineer,4089,136245.0,130000.0,52271.0,2.8,26.8
Consultant / Analyst,2528,125379.0,113686.0,56879.0,1.7,16.7
Data Governance & Ops,3380,110824.0,96810.0,54924.0,2.3,3.1
Data Analyst,14795,107465.0,100000.0,42615.0,10.0,0.0
